Název části obce;Název ulice;Číslo domovní;PSČ
Dvůr Králové nad Labem;Jana Žižky;438;54401
Dvůr Králové nad Labem;Preslova;439;54401
Dvůr Králové nad Labem;Preslova;440;54401
Dvůr Králové nad Labem;Hradecká;442;54401
Dvůr Králové nad Labem;Preslova;443;54401
Dvůr Králové nad Labem;Preslova;444;54401
Dvůr Králové nad Labem;Preslova;447;54401
Dvůr Králové nad Labem;Preslova;448;54401
Dvůr Králové nad Labem;Zborovská;450;54401
Dvůr Králové nad Labem;Zborovská;451;54401
Dvůr Králové nad Labem;17. listopadu;454;54401
Dvůr Králové nad Labem;Rooseveltova;457;54401
Dvůr Králové nad Labem;Rooseveltova;458;54401
Dvůr Králové nad Labem;Rooseveltova;459;54401
Dvůr Králové nad Labem;Rooseveltova;463;54401
Dvůr Králové nad Labem;Sladkovského;464;54401
Dvůr Králové nad Labem;Hradební;477;54401
Dvůr Králové nad Labem;Přemyslova;478;54401
Dvůr Králové nad Labem;17. listopadu;487;54401
Dvůr Králové nad Labem;17. listopadu;488;54401
Dvůr Králové nad Labem;Hradecká;489;54401
Dvůr Králové nad Labem;Kotkova;490;54401
Dvůr Králové nad Labem;Hradecká;491;54401
Dvůr Králové nad Labem;V Lukách;492;54401
Dvůr Králové nad Labem;V Lukách;493;54401
Dvůr Králové nad Labem;K Rybníkům;494;54401
